City,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
saint austell,fog,100,50.34,-4.77,59.97,13.87
qarchi gak,clear sky,36,37.04,66.79,84.25,9.17
saint-dizier,clear sky,35,48.42,5.08,66.94,4.7
lebedinyy,overcast clouds,88,58.52,125.52,63.91,3.83
ouesso,overcast clouds,97,1.61,16.05,70.12,1.3
pisco,overcast clouds,87,-13.7,-76.22,62.15,9.17
gold coast,clear sky,93,-28.0,153.43,49.68,4.7
raska,scattered clouds,72,43.29,20.62,59.0,3.65
saint-pierre,clear sky,72,-21.34,55.48,61.48,5.82
doha,overcast clouds,59,25.29,51.53,95.65,9.17
mumford,overcast clouds,87,5.26,-0.76,75.22,13.31
qaqortoq,light rain,71,60.72,-46.03,57.2,8.05
port moresby,broken clouds,90,-9.44,147.18,74.79,7.05
olenino,overcast clouds,97,56.21,33.49,53.08,5.14
evans,few clouds,44,33.53,-82.13,92.46,9.17
kashary,broken clouds,80,49.04,41.01,67.78,10.54
wundanyi,clear sky,96,-3.4,38.36,57.97,7.81
mokhotlong,clear sky,74,-29.29,29.07,33.01,3.85
santos dumont,few clouds,63,-21.46,-43.55,71.08,4.18
qax,broken clouds,73,41.42,46.92,77.0,4.7
calella,broken clouds,75,41.62,2.67,73.4,3.0
ayame,overcast clouds,85,5.61,-3.16,73.44,5.68
mannarakkat,mist,88,10.98,76.47,77.0,8.05
cam ranh,few clouds,83,11.92,109.16,82.4,1.12
pula,clear sky,49,44.87,13.85,68.0,6.93
sovetskaya gavan,light rain,96,48.97,140.29,55.2,1.54
merrill,broken clouds,47,45.18,-89.68,79.16,3.36
yarim,overcast clouds,73,14.3,44.38,62.91,1.14
payson,few clouds,24,40.04,-111.73,90.03,13.87
naryan-mar,broken clouds,87,67.67,53.09,45.19,6.38
jackson,clear sky,36,42.42,-122.83,82.27,6.93
baie-comeau,overcast clouds,93,49.22,-68.15,60.8,10.29
havelock,scattered clouds,62,34.88,-76.9,85.21,11.41
kachug,clear sky,86,53.96,105.88,61.16,1.61
esqueda,clear sky,27,30.72,-109.58,95.74,8.75
lamar,clear sky,66,33.67,-95.58,92.79,13.87
zarichne,clear sky,92,51.81,26.13,52.11,5.64
moville,clear sky,55,42.49,-96.07,87.04,24.16
barcelona,few clouds,73,41.39,2.16,75.04,3.36
blagoyevo,overcast clouds,66,63.37,47.92,59.58,3.36
brigantine,scattered clouds,45,39.41,-74.36,88.25,8.05
piedade,light rain,47,-23.71,-47.43,78.01,1.99
amahai,light rain,88,-3.33,128.92,75.96,5.35
roald,overcast clouds,82,62.58,6.13,54.88,11.41
dawson creek,scattered clouds,48,55.77,-120.24,66.2,14.99
verkhnevilyuysk,clear sky,84,63.45,120.32,60.51,2.48
yako,moderate rain,79,12.97,-2.27,74.66,20.98
xichang,overcast clouds,81,27.9,102.26,65.41,2.71
aswan,clear sky,13,24.09,32.91,86.9,9.13
nizwa,scattered clouds,48,22.93,57.53,88.45,5.66
sept-iles,broken clouds,72,50.2,-66.38,64.4,10.29
asau,clear sky,59,46.43,26.4,60.8,11.41
arman,overcast clouds,69,59.7,150.17,60.37,1.52
evensk,overcast clouds,84,61.95,159.23,55.63,6.29
chake chake,scattered clouds,78,-5.25,39.77,75.27,9.82
ivybridge,overcast clouds,96,50.39,-3.92,60.66,1.01
birin,clear sky,97,26.89,88.07,64.22,2.44
quixeramobim,overcast clouds,51,-5.2,-39.29,80.71,4.38
khandyga,broken clouds,96,62.67,135.6,67.03,1.88
shumskiy,scattered clouds,90,54.83,99.13,59.52,2.19
goderich,clear sky,84,43.75,-81.72,69.35,3.0
port hedland,broken clouds,50,-20.32,118.57,57.2,8.05
petropavlovsk-kamchatskiy,broken clouds,100,53.05,158.65,51.8,4.47
kozhva,few clouds,75,65.11,57.05,50.13,4.92
noumea,broken clouds,88,-22.28,166.46,68.49,2.24
taoudenni,broken clouds,14,22.68,-3.98,105.31,6.22
gushikawa,clear sky,88,26.35,127.87,82.26,3.36
tilichiki,overcast clouds,93,60.47,166.1,51.3,5.35
novaya bryan,clear sky,88,51.72,108.27,62.6,2.24
voyvozh,broken clouds,74,62.89,54.96,52.86,4.74
coquimbo,broken clouds,76,-29.95,-71.34,57.2,9.17
weatherford,scattered clouds,39,32.76,-97.8,100.26,1.01
yenagoa,overcast clouds,91,4.92,6.26,75.31,5.68
bundaberg,clear sky,70,-24.85,152.35,47.25,4.7
esfahan,broken clouds,31,32.66,51.68,73.4,4.7
sindor,overcast clouds,67,62.86,51.89,59.18,5.01
khani,broken clouds,94,41.96,42.96,69.8,2.24
puerto escondido,few clouds,66,15.85,-97.07,86.0,9.17
warrnambool,clear sky,96,-38.38,142.48,44.01,9.55
saint george,clear sky,13,37.1,-113.58,107.15,24.16
kampot,scattered clouds,83,10.62,104.18,80.6,14.99
eravur,overcast clouds,81,7.77,81.61,81.55,8.03
kieta,overcast clouds,77,-6.22,155.63,78.85,1.21
yerakion,clear sky,83,37.0,22.7,79.38,4.63
beruwala,light rain,87,6.48,79.98,80.6,8.34
sinfra,broken clouds,88,6.62,-5.92,78.8,4.7
oyama,light intensity shower rain,93,36.3,139.8,70.66,5.82
sasaram,overcast clouds,68,24.95,84.01,87.12,5.79
baiyin,overcast clouds,93,36.56,104.21,62.6,2.24
faya,broken clouds,49,18.39,42.45,74.3,6.69
junqueiropolis,broken clouds,46,-21.51,-51.43,83.61,4.14
vao,light rain,77,-22.67,167.48,72.16,12.71
tello,few clouds,52,3.07,-75.14,89.6,9.17
kungurtug,overcast clouds,79,50.6,97.52,54.52,1.32
aykhal,broken clouds,51,66.0,111.5,60.8,2.24
iracoubo,clear sky,75,5.48,-53.2,81.88,9.62
karratha,clear sky,42,-20.74,116.85,64.45,8.03
genhe,broken clouds,76,50.78,121.52,58.96,0.74
muli,scattered clouds,67,2.92,73.57,84.29,3.83
ust-karsk,overcast clouds,84,52.7,118.81,63.72,2.39
